Plate,Well,WellID,SampleID,Host,Virus,Cross,Dilution,Letter Code,Resistance,Light,Week,Date of Last Transfer
lo3b,A1,P3A1,1322v102xE,FL13,22v,FL13x22v,10^2x,E,resistant,low,w2,5/22/18
lo3b,A2,P3A2,42s10xE,FL42,NA,FL42s,10x,E,susceptible,low,w2,5/22/18
lo3b,A3,P3A3,42s1xE,FL42,NA,FL42s,1x,E,susceptible,low,w2,5/22/18
lo3b,A4,P3A4,blank,blank,blank,blank,blank,blank,blank,low,w2,5/22/18
lo3b,A5,P3A5,1328v1xA,FL13,28v,FL13x28v,1x,A,resistant,low,w2,5/22/18
lo3b,A6,P3A6,1313v10xD,FL13,13v,FL13x13v,10x,D,resistant,low,w2,5/22/18
lo3b,B1,P3B1,4222v10xE,FL42,22v,FL42x22v,10x,E,resistant,low,w2,5/22/18
lo3b,B2,P3B2,13103xE,FL13,NA,FL13s,10^3x,E,susceptible,low,w2,5/22/18
lo3b,B3,P3B3,4228v10xE,FL42,28v,FL42x28v,10x,E,resistant,low,w2,5/22/18
lo3b,B4,P3B4,42s1xD,FL42,NA,FL42s,1x,D,susceptible,low,w2,5/22/18
lo3b,B5,P3B5,1322v1xA,FL13,22v,FL13x22v,1x,A,resistant,low,w2,5/22/18
lo3b,B6,P3B6,4222v102xE,FL42,22v,FL42x22v,10^2x,E,resistant,low,w2,5/22/18
lo3b,C1,P3C1,4242v1xD,FL42,42v,FL42x42v,1x,D,resistant,low,w2,5/22/18
lo3b,C2,P3C2,4228v1xE,FL42,28v,FL42x28v,1x,E,resistant,low,w2,5/22/18
lo3b,C3,P3C3,13s10xE,FL13,NA,FL13s,10x,E,susceptible,low,w2,5/22/18
lo3b,C4,P3C4,13s1xE,FL13,NA,FL13s,1x,E,susceptible,low,w2,5/22/18
lo3b,C5,P3C5,blank,blank,blank,blank,blank,blank,blank,low,w2,5/22/18
lo3b,C6,P3C6,1322v103xD,FL13,22v,FL13x22v,10^3x,D,resistant,low,w2,5/22/18
lo3b,D1,P3D1,42s103xD,FL42,NA,FL42s,10^3x,D,susceptible,low,w2,5/22/18
lo3b,D2,P3D2,1322v102xD,FL13,22v,FL13x22v,10^2x,D,resistant,low,w2,5/22/18
lo3b,D3,P3D3,1328v1xF,FL13,28v,FL13x28v,1x,F,resistant,low,w2,5/22/18
lo3b,D4,P3D4,42s102xD,FL42,NA,FL42s,10^2x,D,susceptible,low,w2,5/22/18
lo3b,D5,P3D5,1322v1xD,FL13,22v,FL13x22v,1x,D,resistant,low,w2,5/22/18
lo3b,D6,P3D6,42s10xD,FL42,NA,FL42s,10x,D,susceptible,low,w2,5/22/18
