"Plate","Well","WellID","SampleID","Host","Virus","Cross","Dilution","Letter.Code","Resistance","Light","Transfer","Date.of.Last.Transfer","RFU","date","short.date","newIDs","newVirus","newHost","newCross","plate.transfer","ID.plate","newID.plate"
"hi1a","D4","P1D4","4228v103xA","FL42","28v","FL42x28v","10^3x","A","resistant","high","T1","5/22/18",1524,2018-05-22 18:09:29,"2018-05-22","M2V3103xA","V3","M2","M2V3","hi1a T1","4228v103xA hi1a","M2V3103xA hi1a"
"hi1a","D5","P1D5","13s10xF","FL13",NA,"FL13s","10x","F","susceptible","high","T1","5/22/18",3888,2018-05-22 18:09:29,"2018-05-22","M1S10xF",NA,"M1","M1S","hi1a T1","13s10xF hi1a","M1S10xF hi1a"
"hi1a","D6","P1D6","1322v10xC","FL13","22v","FL13x22v","10x","C","resistant","high","T1","5/22/18",1132,2018-05-22 18:09:29,"2018-05-22","M1V210xC","V2","M1","M1V2","hi1a T1","1322v10xC hi1a","M1V210xC hi1a"
"hi1a","A1","P1A1","1328v1xE","FL13","28v","FL13x28v","1x","E","resistant","high","T1","5/22/18",361,2018-05-23 17:56:07,"2018-05-23","M1V31xE","V3","M1","M1V3","hi1a T1","1328v1xE hi1a","M1V31xE hi1a"
"hi1a","A2","P1A2","1322v10xF","FL13","22v","FL13x22v","10x","F","resistant","high","T1","5/22/18",1117,2018-05-23 17:56:07,"2018-05-23","M1V210xF","V2","M1","M1V2","hi1a T1","1322v10xF hi1a","M1V210xF hi1a"
"hi1a","A3","P1A3","42s103xF","FL42",NA,"FL42s","10^3x","F","susceptible","high","T1","5/22/18",5366,2018-05-23 17:56:07,"2018-05-23","M2S103xF",NA,"M2","M2S","hi1a T1","42s103xF hi1a","M2S103xF hi1a"
"hi1a","A4","P1A4","4242v103xF","FL42","42v","FL42x42v","10^2x","F","resistant","high","T1","5/22/18",1251,2018-05-23 17:56:07,"2018-05-23","M2V4103xF","V4","M2","M2V4","hi1a T1","4242v103xF hi1a","M2V4103xF hi1a"
"hi1a","A5","P1A5","1328v102xA","FL13","28v","FL13x28v","10^2x","A","resistant","high","T1","5/22/18",304,2018-05-23 17:56:07,"2018-05-23","M1V3102xA","V3","M1","M1V3","hi1a T1","1328v102xA hi1a","M1V3102xA hi1a"
"hi1a","A6","P1A6","1313v1xA","FL13","13v","FL13x13v","1x","A","resistant","high","T1","5/22/18",293,2018-05-23 17:56:07,"2018-05-23","M1V11xA","V1","M1","M1V1","hi1a T1","1313v1xA hi1a","M1V11xA hi1a"
"hi1a","B1","P1B1","4242102xF","FL42","42v","FL42x42v","10^2x","F","resistant","high","T1","5/22/18",570,2018-05-23 17:56:07,"2018-05-23","M2V2102xF","V4","M2","M2V4","hi1a T1","4242102xF hi1a","M2V2102xF hi1a"
